JULIO,ROSALIA,PONDAL,CASTELAO,CURROS,CUNQUEIRO,HALL,RESTAURANTE,BAR,Unnamed: 9,_sheet,_row_number,_imported_at
BAR,,5269.55,1973.55,2284.4,1775.77,6649.92,,Diferencia (2019-2025):,205477.34000000003,2025-JULIO.SEPTIEMBRE,135,2026-01-12T10:12:30.821139
,,,, ,,,,Diferencia (2020-2025):,589327.78,2025-JULIO.SEPTIEMBRE,136,2026-01-12T10:12:30.821139
,TOTAL,84839.52000000002,76215.35,77987.68000000001,81060.23000000001,62921.51,,Diferencia (2021-2025):,147956.06000000006,2025-JULIO.SEPTIEMBRE,137,2026-01-12T10:12:30.821139
,,,,,,,,Diferencia (2022-2025):,32374.630000000005,2025-JULIO.SEPTIEMBRE,138,2026-01-12T10:12:30.821139
,,Diferencia (2019-2025):,-21918.010000000017,,,,,Diferencia (2023-2025):,22482.340000000084,2025-JULIO.SEPTIEMBRE,139,2026-01-12T10:12:30.821139
,,Diferencia (2022-2025):,-13293.840000000004,,,,,Diferencia (2024-2025):,24698.400000000023,2025-JULIO.SEPTIEMBRE,140,2026-01-12T10:12:30.821139
,,Diferencia (2023-2025):,-15066.170000000006,,,,,,,2025-JULIO.SEPTIEMBRE,141,2026-01-12T10:12:30.821139
,,Diferencia (2024-2025):,-18138.72000000001,,,,,,,2025-JULIO.SEPTIEMBRE,142,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-JULIO.SEPTIEMBRE,143,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-JULIO.SEPTIEMBRE,144,2026-01-12T10:12:30.821139
,,,,,,,,,,2025-JULIO.SEPTIEMBRE,145,2026-01-12T10:12:30.821139
PRODUCCION NETA  ACUMULADA MES DE SEPTIEMBRE  (MICE + F & B),,,,,,,PRODUCCION NETA x SEGMENTOS COMPARATIVA,,,2025-JULIO.SEPTIEMBRE,146,2026-01-12T10:12:30.821139
,,,,,,,,MES DE SEPTIEMBRE,,2025-JULIO.SEPTIEMBRE,147,2026-01-12T10:12:30.821139
,,2019,2022,2023,2024,2025,,,,2025-JULIO.SEPTIEMBRE,148,2026-01-12T10:12:30.821139
SALAS,,4359.21,4177.69,4760.97,4991.74,5784.5,,,,2025-JULIO.SEPTIEMBRE,149,2026-01-12T10:12:30.821139
AUDIOS,,157.02,123.97,247.93,220.04,1277.47,Ejercicio    2019,311327.69,,2025-JULIO.SEPTIEMBRE,150,2026-01-12T10:12:30.821139
BUFFET + BEBIDAS RTE.,,16193.64,10205.27,11732.95,11125.32,0,Ejercicio    2020,53667.02,,2025-JULIO.SEPTIEMBRE,151,2026-01-12T10:12:30.821139
BANQUETES,,1363.64,4064.73,2832.73,0,3417.73,Ejercicio    2021,224735.34,,2025-JULIO.SEPTIEMBRE,152,2026-01-12T10:12:30.821139
MENUS EQUIPOS Y GRUPOS,,3420.6,10516.18,16280.79,14217.97,16189.1,Ejercicio    2022,321299.26,,2025-JULIO.SEPTIEMBRE,153,2026-01-12T10:12:30.821139
COFFEE-BREAK,,81.82,199.09,1107.95,208.73,3238.41,Ejercicio    2023,370046.42,,2025-JULIO.SEPTIEMBRE,154,2026-01-12T10:12:30.821139
